publisher,year,market_share_pct
Codemasters,2009,1.1696716881245075
Codemasters,2010,0.40384262375328905
Codemasters,2011,0.9286310517529222
Codemasters,2012,0.6925695504167161
Codemasters,2013,0.42356088378083806
Codemasters,2014,0.3951081843838196
Codemasters,2015,0.3438096891821499
Codemasters,2016,0.6042985006556066
Codemasters,2017,0.562734472696957
Codemasters,2018,0.47985942146526084
Codemasters Online,2008,0.002683555173894375
CokeM Interactive,2007,0.04763880564904029
CokeM Interactive,2017,0.0208420175072947
Coleco,1981,6.471816283924841
Coleco,1982,5.4092275057450925
Coleco,1983,3.3040234479083406
Comfort,2010,0.004589120724469193
Comfort,2011,0.013912075681691715
Comfort,2012,0.0046953867824862106
Comfort,2013,0.004953928465272959
Commseed,2008,0.0013417775869471874
Compile,1995,0.4311135571454778
Compile,1996,0.009109542245502162
Compile,1997,0.8766776627954266
Compile,1998,0.010287713041390895
Compile,2008,0.0013417775869471874
Compile Heart,2008,0.02683555173894375
Compile Heart,2009,0.002771733858114946
